,from,to,depart_time,arrival_time,price,location_from,point_from,latitude_f,longitude_f,altitude_f,location_to,point_to,latitude_t,longitude_t,altitude_t
0,Agadir,Al Hoceima,08:30,05:15,425.0,"Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير باشوية, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(30.4211144, -9.5830626, 0.0)",30.4211144,-9.5830626,0.0,"Al Hoceima الحسيمة, Pachalik d'Al Hoceima باشوية الحسيمة, Province d'Al Hoceima إقليم الحسيمة, Tanger-Tétouan-Al Hoceima ⵟⴰⵏⵊ-ⵟⵉⵜⴰⵡⵉⵏ-ⵍⵃⵓⵙⵉⵎⴰ طنجة تطوان الحسيمة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(35.245114, -3.930186, 0.0)",35.245114,-3.930186,0.0
1,Agadir,Al Hoceima,09:00,05:15,430.0,"Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير باشوية, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(30.4211144, -9.5830626, 0.0)",30.4211144,-9.5830626,0.0,"Al Hoceima الحسيمة, Pachalik d'Al Hoceima باشوية الحسيمة, Province d'Al Hoceima إقليم الحسيمة, Tanger-Tétouan-Al Hoceima ⵟⴰⵏⵊ-ⵟⵉⵜⴰⵡⵉⵏ-ⵍⵃⵓⵙⵉⵎⴰ طنجة تطوان الحسيمة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(35.245114, -3.930186, 0.0)",35.245114,-3.930186,0.0
2,Agadir,Al Hoceima,09:30,05:15,420.0,"Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير باشوية, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(30.4211144, -9.5830626, 0.0)",30.4211144,-9.5830626,0.0,"Al Hoceima الحسيمة, Pachalik d'Al Hoceima باشوية الحسيمة, Province d'Al Hoceima إقليم الحسيمة, Tanger-Tétouan-Al Hoceima ⵟⴰⵏⵊ-ⵟⵉⵜⴰⵡⵉⵏ-ⵍⵃⵓⵙⵉⵎⴰ طنجة تطوان الحسيمة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(35.245114, -3.930186, 0.0)",35.245114,-3.930186,0.0
3,Agadir,Al Hoceima,11:00,05:15,475.0,"Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير باشوية, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(30.4211144, -9.5830626, 0.0)",30.4211144,-9.5830626,0.0,"Al Hoceima الحسيمة, Pachalik d'Al Hoceima باشوية الحسيمة, Province d'Al Hoceima إقليم الحسيمة, Tanger-Tétouan-Al Hoceima ⵟⴰⵏⵊ-ⵟⵉⵜⴰⵡⵉⵏ-ⵍⵃⵓⵙⵉⵎⴰ طنجة تطوان الحسيمة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(35.245114, -3.930186, 0.0)",35.245114,-3.930186,0.0
4,Agadir,Al Hoceima,19:45,18:15,395.0,"Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير باشوية, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(30.4211144, -9.5830626, 0.0)",30.4211144,-9.5830626,0.0,"Al Hoceima الحسيمة, Pachalik d'Al Hoceima باشوية الحسيمة, Province d'Al Hoceima إقليم الحسيمة, Tanger-Tétouan-Al Hoceima ⵟⴰⵏⵊ-ⵟⵉⵜⴰⵡⵉⵏ-ⵍⵃⵓⵙⵉⵎⴰ طنجة تطوان الحسيمة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(35.245114, -3.930186, 0.0)",35.245114,-3.930186,0.0
5,Agadir,Al Hoceima,21:30,18:15,425.0,"Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير باشوية, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(30.4211144, -9.5830626, 0.0)",30.4211144,-9.5830626,0.0,"Al Hoceima الحسيمة, Pachalik d'Al Hoceima باشوية الحسيمة, Province d'Al Hoceima إقليم الحسيمة, Tanger-Tétouan-Al Hoceima ⵟⴰⵏⵊ-ⵟⵉⵜⴰⵡⵉⵏ-ⵍⵃⵓⵙⵉⵎⴰ طنجة تطوان الحسيمة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(35.245114, -3.930186, 0.0)",35.245114,-3.930186,0.0
6,Agadir,Al Hoceima,23:00,18:15,480.0,"Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير باشوية, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(30.4211144, -9.5830626, 0.0)",30.4211144,-9.5830626,0.0,"Al Hoceima الحسيمة, Pachalik d'Al Hoceima باشوية الحسيمة, Province d'Al Hoceima إقليم الحسيمة, Tanger-Tétouan-Al Hoceima ⵟⴰⵏⵊ-ⵟⵉⵜⴰⵡⵉⵏ-ⵍⵃⵓⵙⵉⵎⴰ طنجة تطوان الحسيمة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(35.245114, -3.930186, 0.0)",35.245114,-3.930186,0.0
7,Agadir,Al Hoceima,23:59,18:15,475.0,"Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير باشوية, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(30.4211144, -9.5830626, 0.0)",30.4211144,-9.5830626,0.0,"Al Hoceima الحسيمة, Pachalik d'Al Hoceima باشوية الحسيمة, Province d'Al Hoceima إقليم الحسيمة, Tanger-Tétouan-Al Hoceima ⵟⴰⵏⵊ-ⵟⵉⵜⴰⵡⵉⵏ-ⵍⵃⵓⵙⵉⵎⴰ طنجة تطوان الحسيمة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(35.245114, -3.930186, 0.0)",35.245114,-3.930186,0.0
8,Agadir,Beni Mellal,19:45,03:00,175.0,"Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير باشوية, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(30.4211144, -9.5830626, 0.0)",30.4211144,-9.5830626,0.0,"Beni Mellal ⴰⵢⵜ ⵎⵍⵍⴰⵍ بني ملال, Pachalik de Beni Mellal, Province de Beni Mellal إقليم بني ملال, Béni Mellal-Khénifra ⴰⵢⵜ ⵎⵍⵍⴰⵍ-ⵅⵏⵉⴼⵕⴰ بني ملال-خنيفرة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(32.334193, -6.353335, 0.0)",32.334193,-6.353335,0.0
9,Agadir,Beni Mellal,22:45,06:00,175.0,"Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير باشوية, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(30.4211144, -9.5830626, 0.0)",30.4211144,-9.5830626,0.0,"Beni Mellal ⴰⵢⵜ ⵎⵍⵍⴰⵍ بني ملال, Pachalik de Beni Mellal, Province de Beni Mellal إقليم بني ملال, Béni Mellal-Khénifra ⴰⵢⵜ ⵎⵍⵍⴰⵍ-ⵅⵏⵉⴼⵕⴰ بني ملال-خنيفرة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب","(32.334193, -6.353335, 0.0)",32.334193,-6.353335,0.0
