Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL,location,point,latitude,longitude,altitude
Hassan II Mohammedia University,20000، Casablanca 20000,univh2c.ma,G8VW+F4 Casablanca,4.7,7,"https://www.google.com/maps/place/Hassan+II+Mohammedia+University/@33.5447001,-7.6685679,12z/data=!4m8!1m2!2m1!1sFacult%C3%A9,+Casablanca!3m4!1s0xda62d275707a773:0xd7a948ec17afed02!8m2!3d33.5436587!4d-7.6546343?hl=en","Casablanca ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, préfecture d'arrondissements de Casablanca-Anfa عمالة مقاطعات الدار البيضاء أنفا, Pachalik de Casablanca, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, Maroc","(33.5675527, -7.618756606822727, 0.0)",33.5675527,-7.618756606822727,0.0
University Med 6,"Rue Ali Bnou Abi Taleb, Casablanca 20250",um6ss.ma,H9PF+3J Casablanca,5.0,2,"https://www.google.com/maps/place/University+Med+6/@33.5447001,-7.6685679,12z/data=!4m8!1m2!2m1!1sFacult%C3%A9,+Casablanca!3m4!1s0xda7d29638a3dd13:0x80033d1d4de7d313!8m2!3d33.5852036!4d-7.6259256?hl=en",,,,,
Université Mohammed VI des Sciences de la Santé - UM6SS - Anfa City,"Ave Mohamed Taieb Naciri, Casablanca",um6ss.ma,H82M+F7 Casablanca,4.4,44,"https://www.google.com/maps/place/Universit%C3%A9+Mohammed+VI+des+Sciences+de+la+Sant%C3%A9+-+UM6SS+-+Anfa+City/@33.5447001,-7.6685679,12z/data=!4m8!1m2!2m1!1sFacult%C3%A9,+Casablanca!3m4!1s0xda62ccfb45f125d:0xb40aec3670bc6afa!8m2!3d33.5512152!4d-7.6668104?hl=en","Avenue Mohamed Taib Naciri, Anfa Aéropostale, Hay Hassani ⵃⴰⵢ ⵍⵃⴰⵙⴰⵏⵉ حي الحسني, arrondissement de Hay Hassani مقاطعة الحي الحسني, Casablanca ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, préfecture d'arrondissement de Hay Hassani, Pachalik de Casablanca, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 20036, Maroc","(33.5615456, -7.6691551, 0.0)",33.5615456,-7.6691551,0.0
Faculty of Dental Medicine Casablanca,"Rue Abou Alaa Zahr, Casablanca 21100",fmd-uh2c.ac.ma,H9FH+6H Casablanca,3.9,35,"https://www.google.com/maps/place/Faculty+of+Dental+Medicine+Casablanca/@33.5447001,-7.6685679,12z/data=!4m8!1m2!2m1!1sFacult%C3%A9,+Casablanca!3m4!1s0xda7d2a57cb4ad27:0xc98a56c2d76c7e7!8m2!3d33.5730444!4d-7.6210348?hl=en","Rue Abou Alaa Zahr, Quartier Palmier, arrondissement d'El Maarif مقاطعة المعاريف, Casablanca ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, préfecture d'arrondissements de Casablanca-Anfa عمالة مقاطعات الدار البيضاء أنفا, Pachalik de Casablanca, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 20503, Maroc","(33.5737258, -7.6157825, 0.0)",33.5737258,-7.6157825,0.0
FSJES Ain Sebaa,BP : 2634، Route des Chaux et Ciments Beausite، Casablanca 20254,fsjesa.business.site,HFV9+GW Casablanca,4.2,46,"https://www.google.com/maps/place/FSJES+Ain+Sebaa/@33.5447001,-7.6685679,12z/data=!4m8!1m2!2m1!1sFacult%C3%A9,+Casablanca!3m4!1s0xda7cc993c0b280d:0x1e0fc88dd347653d!8m2!3d33.5938305!4d-7.530243?hl=en",,,,,
Faculté des lettres et des sciences humaines Ain Chock,"Mar، Avenue 2 Mars, Casablanca",flsh-uh2c.ac.ma,GCR2+G5 Casablanca,4.1,59,"https://www.google.com/maps/place/Facult%C3%A9+des+lettres+et+des+sciences+humaines+Ain+Chock/@33.5447001,-7.6685679,12z/data=!4m8!1m2!2m1!1sFacult%C3%A9,+Casablanca!3m4!1s0xda632bd5dbc5eef:0x9b21420ac150edc9!8m2!3d33.5412814!4d-7.5995622?hl=en",,,,,
Université Hassan II,Casablanca 20000,univh2c.ma,G8QV+V4 Casablanca,4.0,26,"https://www.google.com/maps/place/Universit%C3%A9+Hassan+II/@33.5447001,-7.6685679,12z/data=!4m8!1m2!2m1!1sFacult%C3%A9,+Casablanca!3m4!1s0xda7cd48273dd637:0xc7bff6e8ac721bd9!8m2!3d33.5396718!4d-7.657199?hl=en","Casablanca ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, préfecture d'arrondissements de Casablanca-Anfa عمالة مقاطعات الدار البيضاء أنفا, Pachalik de Casablanca, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, Maroc","(33.5675527, -7.618756606822727, 0.0)",33.5675527,-7.618756606822727,0.0
Faculté des Sciences Ben M'sik,Casablanca 20670,fsb.univh2c.ma,HF85+JC Casablanca,4.1,45,"https://www.google.com/maps/place/Facult%C3%A9+des+Sciences+Ben+M'sik/@33.5447001,-7.6685679,12z/data=!4m8!1m2!2m1!1sFacult%C3%A9,+Casablanca!3m4!1s0xda633261bbe100f:0xe48b03dd8c6794a0!8m2!3d33.5666095!4d-7.5414796?hl=en","Casablanca ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, préfecture d'arrondissements de Casablanca-Anfa عمالة مقاطعات الدار البيضاء أنفا, Pachalik de Casablanca, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, Maroc","(33.5675527, -7.618756606822727, 0.0)",33.5675527,-7.618756606822727,0.0
Faculty of Arts and Humanities,"Hay El Baraka Avenue Errahmouni Boualam, Casablanca 20670",flbenmsik.ma,HF76+P5 Casablanca,4.0,33,"https://www.google.com/maps/place/Faculty+of+Arts+and+Humanities/@33.5447001,-7.6685679,12z/data=!4m8!1m2!2m1!1sFacult%C3%A9,+Casablanca!3m4!1s0xda6334cf4bacee3:0x3f6e9665900cfa7d!8m2!3d33.5643556!4d-7.5395393?hl=en",,,,,
Superior School of Technology,"KM 7، N1, Casablanca",est-uh2c.ac.ma,G8RV+GW Casablanca,4.3,41,"https://www.google.com/maps/place/Superior+School+of+Technology/@33.5447395,-7.6685677,12z/data=!4m8!1m2!2m1!1suniversit%C3%A9,+Casablanca!3m4!1s0xda62cdf71a3ad5f:0xae343a1ea1f2b204!8m2!3d33.5413325!4d-7.6551501?hl=en",,,,,
